model,parameters,flops
custom_cnn_LR0.0001_BS32,51.48M,568.40M
custom_cnn_LR0.001_BS64,51.48M,568.40M
resnet18_LR0.001_BS32,11.18M,1.82G
resnet18_LR0.0001_BS32,11.18M,1.82G
resnet18_LR0.001_BS64,11.18M,1.82G
swin_t_LR0.001_BS32,18.86M,2.98G
maxvit_t_LR0.001_BS32,30.38M,5.46G
vision_kan_LR0.001_BS32,196.86K,38.54M
vision_kan_LR0.0001_BS32,196.86K,38.54M
vision_kan_LR0.001_BS64,196.86K,38.54M
maxvit_t_LR0.0001_BS32,30.38M,5.46G
maxvit_t_LR0.001_BS64,30.38M,5.46G
swin_t_LR0.0001_BS32,18.86M,2.98G
swin_t_LR0.001_BS64,18.86M,2.98G
