model,parameters,flops
resnet18_OPTadam_WD0p0001,11.18M,1.82G
resnet18_OPTadam_WD0p001,11.18M,1.82G
resnet18_OPTadamw_WD0p0001,11.18M,1.82G
resnet18_OPTadamw_WD0p001,11.18M,1.82G
custom_cnn_OPTadam_WD0.0001,51.48M,568.40M
custom_cnn_OPTadam_WD0.001,51.48M,568.40M
custom_cnn_OPTadamw_WD0.0001,51.48M,568.40M
custom_cnn_OPTadamw_WD0.001,51.48M,568.40M
vision_kan_OPTadam_WD0.0001,196.86K,38.54M
vision_kan_OPTadam_WD0.001,196.86K,38.54M
vision_kan_OPTadamw_WD0.0001,196.86K,38.54M
vision_kan_OPTadamw_WD0.001,196.86K,38.54M
vision_mamba_OPTadam_WD0.0001,198.66K,38.74M
vision_mamba_OPTadam_WD0.001,198.66K,38.74M
vision_mamba_OPTadamw_WD0.0001,198.66K,38.74M
vision_mamba_OPTadamw_WD0.001,198.66K,38.74M
vision_mamba,198.66K,38.74M
vit_b_16_OPTadam_WD0.0001,57.30M,11.29G
vit_b_16_OPTadam_WD0.001,57.30M,11.29G
vit_b_16_OPTadamw_WD0.0001,57.30M,11.29G
vit_b_16_OPTadamw_WD0.001,57.30M,11.29G
swin_t_OPTadam_WD0.0001,18.86M,2.98G
swin_t_OPTadam_WD0.001,18.86M,2.98G
swin_t_OPTadamw_WD0.0001,18.86M,2.98G
swin_t_OPTadamw_WD0.001,18.86M,2.98G
maxvit_t_OPTadam_WD0.0001,30.38M,5.46G
maxvit_t_OPTadam_WD0.001,30.38M,5.46G
maxvit_t_OPTadamw_WD0.0001,30.38M,5.46G
maxvit_t_OPTadamw_WD0.001,30.38M,5.46G
